"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"Fortnite is BROKEN (Update)","UCTgQTM6B97Tk5FPNOWZMB1Q",485126,17492,0,444,"2022-05-24T14:12:16Z","Gaming"
"Great video 👍 - A beautiful moment #2287 - #SORAI_TV","UCbecl7WPEkiP8jw6TeXI36g",498264,10144,0,34,"2023-08-02T13:30:33Z","Entertainment"
"ME ROBARON ESTO EN EL SUPER MARIO WORLD DE JAPON?😭 #shorts","UCaK9J_lZbUjVixFHuP4vYag",471046,42209,0,175,"2023-08-03T01:36:16Z","Entertainment"
"What If You Skydived Into a Tornado?","UCphTF9wHwhCt-BzIq-s4V-g",455069,8849,0,1074,"2019-09-13T14:58:26Z","Science & Technology"
"Jamie Oliver&#39;s Butter Cauliflower Curry","UCtRsmgUJS3t2UNqyMuqgD9Q",398855,34,0,0,"2021-10-01T03:29:47Z","Howto & Style"
"동생이 생긴 은우의 일상 대공개👼 [슈돌 유튜브] KBS 230801 방송","UCHI--ogXohWxjI0MecO-xUA",403481,5179,0,184,"2023-08-02T09:00:37Z","Entertainment"
"HULK IS HERE (thicc)","UCTgQTM6B97Tk5FPNOWZMB1Q",390895,13926,0,448,"2022-12-08T15:30:21Z","Gaming"
"Young Sheldon 1x10 Promo &quot;An Eagle Feather, a String Bean, and an Eskimo&quot; (HD)","UCDR8cvjALazMm2j9hOar8_g",385123,914,0,23,"2017-12-29T02:10:25Z","Entertainment"
"Ethirneechal - Highlights | 02 Aug 2023 | Sun TV | Tamil Serial","UCBnxEdpoZwstJqC1yZpOjRA",397172,4482,0,79,"2023-08-02T16:30:05Z","Entertainment"
"Ben Simmons Doesn&#39;t Want Trade to Blazers, Raptors! Iguodala Back to Warriors! 2021 NBA Free Agency","UCnzbVkknmqhRqUKg7RDTDeg",383454,14720,0,1621,"2021-08-06T16:19:55Z","Sports"
"Kısmetse Olur: Aşkın Gücü 202. Bölüm Tanıtımı","UCIehJzE4VrXFZow5I8nkNOQ",379995,4353,0,592,"2023-08-02T19:00:20Z","Entertainment"
"ปวดไปถึงขั้วหัวใจ ซื้อคอนโดยังไง ให้อยู่ไม่ได้ งานนี้อาจมีทุบ l EP.1464 l 2 ส.ค.66 l#โหนกระแส","UCXm0bpjlfB0AF-ZdPhT0K1A",378579,4180,0,934,"2023-08-02T09:45:02Z","News & Politics"
"Bakers Delight in 1992… | Celebrating 40 years of fresh bread!","UCdLOLpIxS0hEz5SqVh4XzVQ",357783,15,0,1,"2020-09-02T01:03:06Z","People & Blogs"
"Guess the ZERO BUILD Gameplay!","UCTgQTM6B97Tk5FPNOWZMB1Q",324083,11629,0,382,"2022-07-15T17:02:50Z","Gaming"
